word	[etymology]
begins	['Old English']
in	['Proto-Indo-European', 'Proto-Germanic', 'PIE']
where	['Old English', 'Proto-Germanic', 'PIE']
a	['Old English', 'Proto-Germanic', 'PIE']
young	['Old English', 'Proto-Germanic', 'PIE']
named	['Old English', 'Proto-Germanic', 'PIE']
attempts	['God', 'Old French', 'Latin']
to	['Old English', 'Old Norse', 'Proto-Germanic', 'PIE', 'Anglo-French', 'Middle English', 'West Germanic']
save	['Old French', 'Latin', 'PIE', 'Middle French', 'Late Latin']
from	['Old English', 'Proto-Germanic', 'PIE']
hunter	['Old English', 'Proto-Germanic']
emerging	['Latin', 'PIE', 'Middle French']
human	['Proto-Germanic']
psyche	['Latin', 'Greek', 'PIE']
and	['Proto-Indo-European', 'Old English', 'Proto-Germanic', 'PIE']
showing	['Old English', 'Proto-Germanic', 'Proto-Germanic', 'PIE']
characteristics	['Old French', 'Latin', 'Greek']
of	['Old English', 'Proto-Germanic', 'PIE']
abstract	['Latin']
russian	['Medieval Latin Russi', 'Rus', 'Ruotsi', 'Old Norse Ro', 'Old Norse', 'Proto-Germanic', 'PIE', 'Medieval Latin Russianus', 'Russia', 'Russian Russkiy']
constructivism	['Russian']
graffiti	['Italian', 'Greek']
removal	['Old French', 'Latin']
has	['Old English', 'Proto-Germanic', 'PIE']
secured	['Latin']
its	['Old English', 'Proto-Germanic', 'PIE']
place	['Old French', 'Medieval Latin', 'Latin', 'Greek', 'PIE']
history	['Old French', 'Latin', 'Greek', 'PIE']
modern	['Middle French', 'Late Latin', 'Latin']
art	['Old English', 'Proto-Germanic', 'PIE', 'Old French', 'Latin']
while	['Old English', 'An Old English', 'Old North French', 'Middle English']
being	['Old English', 'Proto-Germanic', 'PIE']
created	['Latin', 'PIE']
by	['Old English', 'Proto-Germanic', 'PIE']
artists	['Old English', 'Proto-Germanic', 'PIE', 'Middle French', 'Italian', 'Medieval Latin', 'Latin']
who	['Old English', 'Proto-Germanic', 'PIE']
are	['Old English', 'Proto-Germanic', 'PIE']
unconscious	['Old French', 'Latin', 'PIE']
their	['Old English', 'Proto-Germanic', 'PIE', 'Old Norse']
artistic	['Old English', 'Proto-Germanic', 'PIE', 'Middle French', 'Italian', 'Medieval Latin', 'Latin', 'French']
achievements	['Old French', 'Late Latin', 'Middle French']
spurning	['Old English', 'Proto-Germanic', 'PIE']
her	['Old English', 'Proto-Germanic', 'PIE']
mother	['Old English', 'Proto-Germanic', 'PIE', 'Middle Dutch']
's	['Old English']
insistence	['Old French', 'Latin', 'French', 'PIE']
that	['Old English']
get	['Old English', 'Old Norse', 'Proto-Germanic', 'PIE']
on	['Old English', 'Proto-Germanic', 'PIE']
with	['Old English', 'Proto-Germanic', 'PIE']
life	['Old English', 'Proto-Germanic', 'PIE']
mary	['Mexican Spanish', 'Latin Maria', 'Greek Mariam', 'Aramaic Maryam', 'Hebrew Miryam']
is	['Old English', 'Proto-Germanic', 'PIE']
thrown	['Old English', 'Proto-Germanic', 'PIE']
out	['Old French', 'Latin', 'Old English']
house	['Old English', 'Proto-Germanic']
rejected	['Old French', 'Latin']
joe	['Old French', 'Latin', 'French', 'French', 'Johannes']
expelled	['Latin']
school	['Latin', 'Greek', 'Middle Dutch', 'West Germanic', 'PIE']
as	['Old English', 'Proto-Germanic', 'PIE']
larger	['Old French', 'Latin']
child	['Old English', 'Proto-Germanic']
believe	['West Germanic', 'Old English', 'Proto-Germanic']
board	['Old English', 'Proto-Germanic', 'PIE']
directors	['French', 'Old French', 'Vulgar Latin', 'Latin', 'Anglo-French']
his	['Old English', 'Proto-Germanic', 'PIE']
mind	['Old English']
filled	['Old English', 'Proto-Germanic', 'PIE', 'Old French', 'Latin', 'Latin']
revenge	['Middle French', 'Latin', 'PIE', 'Proto-Italic', 'Old French']
what	['Old English', 'Proto-Germanic', 'PIE', 'PIE']
better	['Old English', 'Proto-Germanic', 'PIE']
than	['Proto-Germanic', 'PIE', 'Old English']
robbing	['Proto-Germanic', 'PIE', 'Old French', 'West Germanic']
bank	['Old English', 'Proto-Germanic']
himself	['Middle French', 'Late Latin', 'Greek', 'Old English', 'Proto-Germanic', 'PIE']
ironic	['Old French', 'Latin', 'PIE', 'Greek', 'Late Latin']
it	['Old English', 'Proto-Germanic', 'PIE']
may	['Old French', 'Latin Majus', 'Maja', 'PIE', 'Old English', 'Proto-Germanic', 'May']
sound	['Old English', 'Proto-Germanic', 'PIE', 'Old Norse', 'Old French', 'Latin', 'German Gesundheit', 'Old High German', 'Germanic']
among	['Old English', 'Proto-Germanic']
talks	['Old English', 'Proto-Germanic', 'PIE']
small	['Old English', 'Proto-Germanic']
rock	['Old English', 'Old North French', 'Vulgar Latin', 'Celtic']
gertrude	['Proto-Germanic', 'Germanic', 'Middle English', 'Old English', 'PIE', 'French', 'Old High German Geretrudis']
like	['Old English', 'Proto-Germanic']
if	['Old English', 'Proto-Germanic', 'PIE']
was	['Old English', 'Proto-Germanic', 'PIE']
alive	['Old English', 'Proto-Germanic', 'PIE']
this	['Old French', 'Late Latin', 'PIE', 'Old English', 'Proto-Germanic']
gives	['Old English', 'Proto-Germanic', 'PIE']
girls	['Proto-Germanic', 'PIE']
fair	['Old French', 'Vulgar Latin', 'Latin', 'Proto-Italic', 'PIE', 'Anglo-French', 'Old English']
chance	['Old French', 'Vulgar Latin', 'PIE']
pulling	['Old English']
wool	['Old English', 'Proto-Germanic', 'PIE']
over	['Proto-Indo-European', 'Old English', 'Proto-Germanic', 'PIE', 'Old English']
eyes	['Old English', 'Proto-Germanic', 'PIE']
using	['Proto-Germanic', 'PIE', 'Old French', 'Vulgar Latin', 'Anglo-French', 'Latin']
sexiness	['Old French', 'Latin', 'PIE']
poach	['Middle French', 'Old French', 'French', 'Frankish', 'Proto-Germanic']
any	['Proto-Germanic', 'PIE']
last	['Old English', 'Proto-Germanic', 'PIE']
vestige	['French', 'Latin']
common	['Old French', 'Latin', 'PIE']
sense	['Old French', 'Latin', 'PIE']
dons	['Old English', 'Proto-Germanic', 'PIE', 'Middle English', 'West Germanic']
might	['Old French', 'Latin Majus', 'Maja', 'PIE', 'Old English', 'Proto-Germanic', 'May']
have	['Old English', 'Proto-Germanic', 'PIE']
had	['Old English', 'Proto-Germanic', 'PIE']
styled	['Old French', 'Latin']
after	['Old English']
behind	['Old English', 'Proto-Germanic', 'PIE']
music	['Old French Muse', 'Latin Musa', 'Greek Mousa', 'PIE', 'Old French', 'Gallo-Roman', 'Latin', 'Greek', 'Mousa']
profiles	['Late Latin']
rise	['Old English', 'Proto-Germanic']
fall	['Old English', 'Proto-Germanic']
an	['Old English', 'Proto-Germanic', 'PIE']
internet	['Old English', 'Proto-Germanic', 'PIE']
called	['Old Norse', 'Proto-Germanic', 'PIE']
blue	['Old French', 'Frankish', 'Proto-Germanic', 'Hotten']
not	['Old English', 'Proto-Germanic', 'PIE', 'Latin Vectis', 'Y']
only	['Old English', 'Proto-Germanic', 'PIE']
predicament	['Medieval Latin', 'Late Latin', 'Latin']
he	['Old English', 'PIE', 'Proto-Germanic']
also	['Old English', 'Proto-Germanic', 'PIE']
lacks	['Middle Dutch', 'Proto-Germanic', 'PIE']
ability	['Old French', 'Latin']
express	['Old French', 'Latin']
emotions	['Middle French', 'Old French', 'Latin']
perversion	['Latin', 'PIE', 'Old French']
biblical	['Anglo-Latin', 'Medieval', 'Bible']
punishments	['Old French', 'Latin', 'Anglo-French']
for	['Old English', 'Proto-Germanic', 'PIE']
sins	['Old English', 'Proto-Germanic', 'PIE', 'Middle English']
stoning	['Old English', 'Proto-Germanic', 'PIE']
burning	['Old English', 'Old Norse', 'Exodus']
decapitation	['French', 'Medieval Latin', 'Latin']
david	['Hebrew Dawidh']
painter	['Old French', 'Latin']
block	['Old French', 'PIE', 'French']
takes	['Old English', 'Latin', 'Proto-Germanic', 'PIE', 'Germanic']
job	['Biblical', 'Hebrew Iyyobh']
waiter	['Old North French', 'Old North French', 'Anglo-French', 'Frankish', 'Proto-Germanic', 'PIE']
some	['Old English', 'Proto-Germanic', 'PIE']
inspiration	['Old French', 'Late Latin']
women	['Old English', 'Proto-Germanic', 'PIE']
craved	['Old English', 'Proto-Germanic', 'North Germanic']
him	['Old English', 'Proto-Germanic', 'PIE']
men	['Old English', 'Proto-Germanic', 'PIE']
wanted	['Old English', 'Proto-Germanic', 'PIE', 'Old Norse']
be	['Old English', 'Proto-Germanic', 'PIE']
set	['Old French', 'Late Latin', 'Latin', 'PIE', 'Medieval Latin', 'Old English', 'Proto-Germanic']
island	['Old Norse', 'Proto-Germanic', 'PIE', 'Old English']
coast	['Old French', 'Latin', 'Anglo-French']
florida	['French', 'Latin', 'U.S.', 'Spanish Pascua']
rave	['Old French', 'French']
party	['Old French', 'Latin']
diverse	['Old English', 'Proto-Germanic', 'PIE', 'Latin']
group	['French', 'Italian', 'Proto-Germanic']
college	['Old French', 'Latin', 'PIE']
guard	['Old French', 'Frankish', 'Proto-Germanic', 'Germanic', 'Middle French']
officer	['Anglo-French', 'Latin', 'Old French', 'Medieval Latin']
lesson	['Old French', 'Latin', 'PIE']
learned	['Old English', 'Proto-Germanic', 'PIE']
never	['Old English', 'Proto-Germanic']
mess	['Old French', 'Late Latin']
gay	['Old French', 'Frankish']
mafia	['Italian Mafia', 'Italian', 'Arabic', 'Old French']
theme	['Old French', 'Latin', 'Greek', 'PIE']
film	['Old English', 'West Germanic', 'Proto-Germanic', 'PIE']
addresses	['Old French', 'Vulgar Latin', 'Latin', 'French']
similarities	['French', 'Old Latin', 'PIE']
between	['Old English', 'Proto-Germanic', 'PIE']
two	['Old English', 'Proto-Germanic', 'PIE']
factions	['Old French', 'Latin', 'PIE']
law	['Old English', 'Old Norse', 'Proto-Germanic', 'PIE']
crime	['Old French', 'Latin']
revealing	['Old French', 'Latin']
